mesaj_id,mesaj,etiket
88,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi cumartesi. Tutar: 1.200 TL.,normal
89,Randevunuz yarın saat 20:30 olarak onaylanmıştır.,normal
90,"Toplantı notlarını mail attım, bakabilir misin? Detaylar için arayın.",normal
91,Kampanya detayları için tıklayın: bankamiz.com.tr/kampanya. Ret için RET yazın. Teşekkürler.,normal
92,"Ayşe yola çıktım, 11:00 gibi oradayım. İyi günler.",normal
93,"Merhaba Mehmet, akşam",normal
94,Hesabınız bloke edilmiştir. Açmak için hemen tıklayın: hesap-dogrula.com/a815,dolandiricilik
95,"Deniz toplantı 16:45 da başlıyor, geç kalma. Bilgilerinize.",normal
96,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi bugün. Tutar: 480 TL. İyi günler.,normal
97,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi. İyi günler.",normal
98,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
99,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi cuma. Tutar: 1.200 TL. Bilgilerinize.,normal
100,"Acil dönüş yapar mısın Merve, toplantı saati değişti. Detaylar için arayın.",normal
101,Kartınızdan 1.200 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz. Detaylar için arayın.,normal
102,"Eczanemizde reçeteniz hazırdır,",normal
103,Kampanya: bugün yapacağınız alışverişlerde 480 TL puan kazanın. Detaylar mobil uygulamada. Bilgilerinize.,normal
104,Kampanya detayları için tıklayın: bankamiz.com.tr/kampanya. Ret,normal
105,Paketiniz cumartesi teslim,normal
106,Kartınızdan 5.000 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz. İyi günler.,normal
107,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
108,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
109,Tek kullanımlık şifreniz: 688985. Bu şifreyi kimseyle paylaşmayınız. İyi günler.,normal
110,Doğum günün kutlu olsun Deniz! Nice mutlu yıllara. Detaylar için arayın.,normal
111,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. Teşekkürler.,normal
112,Kartınız askıya alındı. Şifre ve kart bilgilerinizi doğrulayın: hesap-dogrula.com/a790,dolandiricilik
113,"Tebrikler Selin, kazandın! Maç bileti bende, akşam konuşuruz.",normal
114,Kampanya: yarın yapacağınız alışverişlerde 150 TL puan kazanın. Detaylar mobil uygulamada. Teşekkürler.,normal
115,Siparişiniz kurye ile yola çıktı. Takip numaranız 466044. Bilgilerinize.,normal
116,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
117,"Anneciğim yarın size uğrayacağız, bir şey lazım mı? İyi günler.",normal
118,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi pazartesi. Tutar: 2.750 TL. İyi günler.,normal
119,"Merhaba Deniz, akşam yemeğe geliyor musun? Teşekkürler.",normal
120,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. İyi günler.,normal
121,Güvenliğiniz için hesabınıza erişim geçici olarak kısıtlanmıştır. Lütfen şubenize başvurunuz.,normal
122,Kartınız askıya alındı. Şifre ve kart bilgilerinizi doğrulayın: tinyurl.com/a880 Bilgilerinize.,dolandiricilik
123,Siparişiniz kurye ile yola çıktı. Teslimat için onay verin: tinyurl.com/a537,dolandiricilik
124,Güvenliğiniz için hesabınıza erişim geçici olarak kısıtlanmıştır. Lütfen şubenize başvurunuz.,normal
125,Tek kullanımlık şifreniz: 890140.,normal
126,Siparişiniz kargo ile yola çıktı. Teslimat için onay verin: bit.ly/a136 Teşekkürler.,dolandiricilik
127,Kredi başvurunuz onaylandı. 480,dolandiricilik
128,Doğum günün kutlu olsun Ayşe! Nice mutlu yıllara. Teşekkürler.,normal
129,"Paketiniz gümrükte bekliyor, 24 TL ödeme yapmazsanız iade edilecek: guvenli-odeme.net/a571 İyi günler.",dolandiricilik
130,"Anneciğim cumartesi size uğrayacağız, bir şey lazım mı?",normal
131,"Sayın müşterimiz, güvenlik nedeniyle bilgilerinizi hemen güncelleyiniz kargo-takip.xyz/a606 İyi günler.",dolandiricilik
132,Doğum günün kutlu olsun Ayşe! Nice mutlu yıllara. Detaylar için arayın.,normal
133,"Toplantı notlarını mail attım, bakabilir misin? Detaylar için arayın.",normal
134,"Deniz ben, yeni numaram bu. Acil para lazım, IBAN atıyorum. Detaylar için arayın.",dolandiricilik
135,Otomatik ödeme talimatınız ile 2.750 TL fatura ödendi. İyi günler.,normal
136,Kampanya: pazartesi yapacağınız alışverişlerde 640 TL puan kazanın. Detaylar mobil uygulamada. Bilgilerinize.,normal
137,"Hemen mobil uygulamamızdan başvurun, ihtiyaç kredisinde faizsiz ilk taksit fırsatı. Ret için RET yazın.",normal
138,"Tebrikler Zeynep, kazandın!",normal
139,Doğum günün kutlu olsun Burak! Nice mutlu yıllara.,normal
140,Randevunuz bugün saat 18:00 olarak onaylanmıştır.,normal
141,"Merve yola çıktım,",normal
142,Randevunuz cumartesi saat 09:30 olarak onaylanmıştır.,normal
143,Hesabınızdan şüpheli işlem tespit edildi. İptal,dolandiricilik
144,Paketiniz pazar teslim edilecektir. İyi günler.,normal
145,"Toplantı notlarını mail attım, bakabilir misin? Bilgilerinize.",normal
146,"Elif ben, yeni numaram bu. Acil para lazım, IBAN atıyorum. Detaylar için arayın.",dolandiricilik
147,Tek kullanımlık şifreniz: 239857. Bu şifreyi kimseyle paylaşmayınız. İyi günler.,normal
148,Siparişiniz kargo ile yola çıktı. Takip numaranız 796987.,normal
149,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi pazartesi. Tutar: 1.200 TL.,normal
150,Tek kullanımlık şifreniz: 500947. Bu,normal
151,"Burak ben, yeni numaram bu. Acil para lazım, IBAN atıyorum.",dolandiricilik
152,Kartınızdan 1.890 TL harcama yapılmıştır. Size ait değilse iptal için: guvenli-odeme.net/a816 Bilgilerinize.,dolandiricilik
153,"Anneciğim pazar size uğrayacağız, bir şey lazım mı?",normal
154,Kartınızdan 1.200 TL harcama,dolandiricilik
155,"Eczanemizde reçeteniz hazırdır, pazar teslim alabilirsiniz. Detaylar için arayın.",normal
156,Hesabınızdan şüpheli işlem tespit edildi. İptal için size gelen şifreyi bu numaraya iletin. Bilgilerinize.,dolandiricilik
157,Kartınızdan 150 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz.,normal
158,Faturanız 2.750 TL olarak kesilmiştir. Son ödeme pazartesi.,normal
159,Hesabınıza 5.000 TL maaş ödemesi yatırılmıştır. İyi günler dileriz. Bilgilerinize.,normal
160,Paketiniz yarın teslim,normal
161,"Selin toplantı 18:00 da başlıyor, geç kalma.",normal
162,"Can yola çıktım, 11:00 gibi oradayım.",normal
163,"Toplantı notlarını mail attım, bakabilir misin? Detaylar için arayın.",normal
164,"Kredi başvurunuz onaylandı. 5.000 TL için masraf ücretini yatırın, IBAN bilgisi için yanıtlayın. Bilgilerinize.",dolandiricilik
165,Kartınız ile yapılan 640 TL,normal
166,"Emre toplantı 16:45 da başlıyor, geç kalma. Detaylar için arayın.",normal
167,Tebrikler! 1.890 TL ödül kazandınız. Almak için tıklayın kargo-takip.xyz/a469 Detaylar için arayın.,dolandiricilik
168,"Tebrikler Mehmet, kazandın! Maç bileti bende, akşam konuşuruz.",normal
169,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. Teşekkürler.,normal
170,Randevunuz cuma saat,normal
171,"Acil dönüş yapar mısın Selin, toplantı saati değişti. Bilgilerinize.",normal
172,"Selin toplantı 16:45 da başlıyor, geç kalma. İyi günler.",normal
173,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. Bilgilerinize.,normal
174,"Can yola çıktım, 20:30 gibi oradayım. İyi günler.",normal
175,Faturanız 2.750 TL olarak kesilmiştir. Son ödeme yarın. İyi günler.,normal
176,Faturanız 1.200 TL olarak kesilmiştir. Son ödeme pazartesi.,normal
177,Faturanız 250 TL olarak kesilmiştir. Son ödeme bugün.,normal
178,Güvenliğiniz için hesabınıza erişim geçici olarak kısıtlanmıştır. Lütfen şubenize başvurunuz. Teşekkürler.,normal
179,Kampanya detayları için tıklayın: bankamiz.com.tr/kampanya. Ret için RET yazın. İyi günler.,normal
180,"Kredi başvurunuz onaylandı. 640 TL için masraf ücretini yatırın, IBAN bilgisi için yanıtlayın. Teşekkürler.",dolandiricilik
181,Paketiniz cuma teslim,normal
182,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. Teşekkürler.,normal
183,Kampanya detayları için tıklayın: bankamiz.com.tr/kampanya. Ret için RET yazın. Detaylar için arayın.,normal
184,Mehmet toplantı 14:15,normal
185,"Müşteri temsilcimiz sizi arayacak, telefonunuza gelen şifreyi kendisine söyleyiniz.",dolandiricilik
186,Toplantı notlarını mail,normal
187,Doğum günün kutlu olsun Elif! Nice mutlu yıllara. Detaylar için arayın.,normal
188,Randevunuz cuma saat 18:00 olarak onaylanmıştır. Teşekkürler.,normal
189,Kartınız ile yapılan 89 TL işlem onaylanmadı.,normal
190,Kartınız askıya alındı. Şifre ve kart bilgilerinizi doğrulayın: guvenli-odeme.net/a693 Detaylar için arayın.,dolandiricilik
191,Siparişiniz kurye ile yola çıktı. Takip numaranız 954363. Detaylar için arayın.,normal
192,Doğum günün kutlu olsun Elif! Nice mutlu yıllara. İyi günler.,normal
193,Siparişiniz kurye ile yola çıktı. Teslimat için onay verin: edevlet-iade.info/a430 İyi günler.,dolandiricilik
194,"Müşteri temsilcimiz sizi arayacak, telefonunuza gelen şifreyi kendisine söyleyiniz. Teşekkürler.",dolandiricilik
195,Kartınızdan 640 TL harcama,normal
196,Kargonuz dağıtıma çıktı.,normal
197,"Deniz yola çıktım, 11:00 gibi oradayım. Detaylar için arayın.",normal
198,Hesabınıza 250 TL maaş ödemesi yatırılmıştır. İyi günler dileriz.,normal
199,Faturanız 2.750 TL olarak kesilmiştir. Son ödeme bugün. Teşekkürler.,normal
200,Doğum günün kutlu olsun Selin! Nice mutlu yıllara.,normal
201,"Tebrikler Elif, kazandın! Maç",normal
202,Kartınız ile yapılan 1.200 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız. Teşekkürler.,normal
203,Hesabınıza 640 TL maaş ödemesi yatırılmıştır.,normal
204,Tek kullanımlık şifreniz: 127947. Bu şifreyi kimseyle paylaşmayınız. Bilgilerinize.,normal
205,Kartınız ile yapılan 1.200 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız.,normal
206,Anneciğim pazartesi size,normal
207,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
208,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz.,normal
209,Randevunuz pazartesi saat 20:30 olarak onaylanmıştır.,normal
210,Kartınız ile yapılan 150 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız. İyi günler.,normal
211,"Tebrikler Deniz, kazandın! Maç bileti bende, akşam konuşuruz. İyi günler.",normal
212,Faturanız 250 TL olarak kesilmiştir. Son ödeme cuma. Bilgilerinize.,normal
213,"Mehmet toplantı 11:00 da başlıyor, geç kalma. Detaylar için arayın.",normal
214,Kartınızdan 250 TL harcama,dolandiricilik
215,Kartınız ile yapılan 1.200 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız.,normal
216,Randevunuz pazartesi saat 20:30 olarak onaylanmıştır. Bilgilerinize.,normal
217,"Emre ben, yeni numaram bu. Acil para lazım, IBAN atıyorum.",dolandiricilik
218,Tek kullanımlık şifreniz: 971631. Bu şifreyi kimseyle paylaşmayınız.,normal
219,Kartınızdan 5.000 TL harcama yapılmıştır.,dolandiricilik
220,Tek kullanımlık şifreniz: 137104. Bu şifreyi kimseyle paylaşmayınız. İyi günler.,normal
221,Merhaba annecim telefonum bozuldu bu numaradan,dolandiricilik
222,Kredi kartı hesap özetiniz hazırlandı. Son,normal
223,Randevunuz yarın saat 20:30 olarak onaylanmıştır.,normal
224,Faturanız 320 TL olarak kesilmiştir. Son ödeme cumartesi. İyi günler.,normal
225,"Acil dönüş yapar mısın Selin, toplantı saati değişti. Bilgilerinize.",normal
226,Paketiniz pazartesi teslim,normal
227,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi pazar. Tutar: 320 TL. Detaylar için arayın.,normal
228,Kartınızdan 640 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz. İyi günler.,normal
229,Siparişiniz kargo ile yola çıktı. Teslimat için onay verin: kargo-takip.xyz/a134,dolandiricilik
230,"Sayın müşterimiz, güvenlik nedeniyle",dolandiricilik
231,Randevunuz yarın saat 14:15 olarak onaylanmıştır. Bilgilerinize.,normal
232,Tek kullanımlık şifreniz: 139544. Bu şifreyi kimseyle paylaşmayınız. Detaylar için arayın.,normal
233,"Tebrikler Ayşe, kazandın! Maç bileti bende, akşam konuşuruz. Bilgilerinize.",normal
234,"Tebrikler, çekilişimizde hediye",normal
235,Otomatik ödeme talimatınız ile 89 TL fatura ödendi. İyi günler.,normal
236,"Merhaba Can, akşam yemeğe geliyor musun? İyi günler.",normal
237,"Kredi başvurunuz onaylandı. 150 TL için masraf ücretini yatırın, IBAN bilgisi için yanıtlayın. Detaylar için arayın.",dolandiricilik
238,Hesabınızdan şüpheli işlem tespit edildi. İptal için size gelen şifreyi bu numaraya iletin. Detaylar için arayın.,dolandiricilik
239,Siparişiniz kargo ile yola,dolandiricilik
240,Merhaba annecim telefonum bozuldu bu numaradan,dolandiricilik
241,Kampanya: cumartesi yapacağınız alışverişlerde 150,normal
242,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. İyi günler.,normal
243,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
244,Otomatik ödeme talimatınız ile 89 TL fatura ödendi. Detaylar için arayın.,normal
245,Güvenliğiniz için hesabınıza erişim geçici olarak kısıtlanmıştır. Lütfen şubenize başvurunuz.,normal
246,Tek kullanımlık şifreniz: 181521. Bu şifreyi kimseyle paylaşmayınız. İyi günler.,normal
247,Kartınızdan 640 TL harcama yapılmıştır. Size ait değilse iptal için: bit.ly/a559,dolandiricilik
248,Siparişiniz kargo ile yola çıktı. Takip numaranız 809467. Detaylar için arayın.,normal
249,Doğum günün kutlu,normal
250,Toplantı notlarını mail,normal
251,"Merhaba Deniz, akşam yemeğe geliyor musun?",normal
252,Kartınızdan 250 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz.,normal
253,"Sayın müşterimiz, güvenlik nedeniyle bilgilerinizi hemen güncelleyiniz tinyurl.com/a560",dolandiricilik
254,Güvenliğiniz için hesabınıza erişim geçici olarak kısıtlanmıştır. Lütfen şubenize başvurunuz. Teşekkürler.,normal
255,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi. Teşekkürler.",normal
256,Hesabınıza 1.200 TL maaş ödemesi yatırılmıştır. İyi günler dileriz. Bilgilerinize.,normal
257,"Anneciğim bugün size uğrayacağız, bir şey lazım mı? Detaylar için arayın.",normal
258,"Anneciğim bugün size uğrayacağız, bir şey lazım mı? Teşekkürler.",normal
259,Hesabınıza 2.750 TL maaş ödemesi yatırılmıştır. İyi günler dileriz. Teşekkürler.,normal
260,Kampanya detayları için,normal
261,Doğum günün kutlu,normal
262,"Eczanemizde reçeteniz hazırdır, yarın teslim alabilirsiniz.",normal
263,"Tebrikler Merve, kazandın! Maç bileti bende, akşam konuşuruz. Detaylar için arayın.",normal
264,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
265,Siparişiniz kurye ile yola çıktı. Teslimat,dolandiricilik
266,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi pazar. Tutar: 5.000 TL.,normal
267,Kartınız ile yapılan 150 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız.,normal
268,"Anneciğim pazar size uğrayacağız, bir şey lazım mı? İyi günler.",normal
269,Siparişiniz kargo ile yola çıktı. Takip numaranız 521664. Teşekkürler.,normal
270,Doğum günün kutlu olsun Selin! Nice mutlu yıllara. İyi günler.,normal
271,"Toplantı notlarını mail attım, bakabilir misin? Bilgilerinize.",normal
272,Kampanya: cuma yapacağınız alışverişlerde 89 TL puan kazanın. Detaylar mobil uygulamada. Detaylar için arayın.,normal
273,"Hemen mobil uygulamamızdan başvurun, ihtiyaç kredisinde faizsiz ilk taksit fırsatı. Ret için RET yazın. Teşekkürler.",normal
274,Randevunuz iptal edilmiştir.,dolandiricilik
275,"Zeynep toplantı 11:00 da başlıyor, geç kalma.",normal
276,"Kredi başvurunuz onaylandı. 89 TL için masraf ücretini yatırın, IBAN bilgisi için yanıtlayın.",dolandiricilik
277,"Bedava internet paketi kazandınız! Hemen tıkla, sınırlı süre: hesap-dogrula.com/a962 Detaylar için arayın.",dolandiricilik
278,Kargonuz adres eksikliği nedeniyle teslim edilemedi. Adres güncelleme için: hesap-dogrula.com/a893 Detaylar için arayın.,dolandiricilik
279,"Mehmet yola çıktım, 09:30 gibi oradayım. Bilgilerinize.",normal
280,Kartınızdan 320 TL harcama,dolandiricilik
281,"Tebrikler Elif, kazandın! Maç bileti",normal
282,Kartınızdan 250 TL harcama yapılmıştır. Size ait,dolandiricilik
283,"Sayın müşterimiz, güvenlik nedeniyle bilgilerinizi hemen güncelleyiniz tinyurl.com/a496",dolandiricilik
284,"Eczanemizde reçeteniz hazırdır, yarın teslim alabilirsiniz. İyi günler.",normal
285,Hesabınıza 250 TL maaş ödemesi yatırılmıştır. İyi günler dileriz. Bilgilerinize.,normal
286,Kartınız ile yapılan 150 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız. Detaylar için arayın.,normal
287,"Emre yola çıktım, 20:30 gibi oradayım. Bilgilerinize.",normal
288,Hesabınızdan şüpheli işlem tespit edildi. İptal için size gelen şifreyi bu numaraya iletin. İyi günler.,dolandiricilik
289,"Merhaba Burak, akşam yemeğe geliyor musun? Bilgilerinize.",normal
290,Tebrikler! 2.750 TL ödül kazandınız. Almak için tıklayın kargo-takip.xyz/a324 İyi günler.,dolandiricilik
291,"Acil dönüş yapar mısın Ayşe, toplantı saati değişti.",normal
292,"Eczanemizde reçeteniz hazırdır, bugün teslim alabilirsiniz. Detaylar için arayın.",normal
293,Anneciğim cuma size,normal
294,"Kredi başvurunuz onaylandı. 89 TL için masraf ücretini yatırın, IBAN bilgisi için yanıtlayın.",dolandiricilik
295,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi yarın. Tutar: 5.000 TL. Detaylar için arayın.,normal
296,Siparişiniz kurye ile yola çıktı. Takip numaranız 128934. Teşekkürler.,normal
297,Siparişiniz kurye ile yola çıktı. Takip numaranız 111023.,normal
298,Kargonuz adres eksikliği nedeniyle teslim edilemedi. Adres güncelleme için: tinyurl.com/a389 Bilgilerinize.,dolandiricilik
299,Hesabınıza 89 TL,normal
300,Kartınızdan 250 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz. Bilgilerinize.,normal
301,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz. Teşekkürler.,normal
302,"Acil dönüş yapar mısın Ayşe, toplantı saati değişti. Detaylar için arayın.",normal
303,Kartınızdan 1.200 TL harcama yapılmıştır. Size ait değilse iptal için: kargo-takip.xyz/a143,dolandiricilik
304,Siparişiniz kargo ile yola çıktı. Takip numaranız 859398.,normal
305,Doğum günün kutlu olsun Emre! Nice mutlu yıllara.,normal
306,Kartınızdan 480 TL harcama,normal
307,Hesabınızdan şüpheli işlem tespit edildi. İptal için size gelen şifreyi bu numaraya iletin. İyi günler.,dolandiricilik
308,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
